Model,Dataset,Level,# Samples,# Samples Evaluated,Sem-F1 (USE),Sem-F1 (Distil),Sem-F1 (RoBERTa),Rouge-1,Rouge-2,Rouge-L,Rouge-L Sum,BERTscore,FaNS,# FaNS Samples
lmsys/vicuna-13b-v1.5-16k,all_sides,0,137,137,0.25,0.3,0.3,0.16,0.07,0.12,0.13,-0.29,0.16,131
lmsys/vicuna-13b-v1.5-16k,all_sides,1,137,137,0.17,0.23,0.23,0.14,0.07,0.12,0.12,-0.36,0.14,134
lmsys/vicuna-13b-v1.5-16k,all_sides,2,137,137,0.18,0.24,0.23,0.15,0.07,0.12,0.13,-0.33,0.15,136
lmsys/vicuna-13b-v1.5-16k,all_sides,3,137,137,0.42,0.41,0.43,0.36,0.17,0.26,0.28,0.28,0.21,136
lmsys/vicuna-13b-v1.5-16k,all_sides,4,137,137,0.47,0.45,0.48,0.37,0.19,0.28,0.29,0.3,0.22,137
lmsys/vicuna-13b-v1.5,all_sides,0,137,137,0.24,0.29,0.28,0.17,0.08,0.13,0.14,-0.29,0.16,134
lmsys/vicuna-13b-v1.5,all_sides,1,137,137,0.2,0.26,0.25,0.16,0.08,0.13,0.13,-0.3,0.15,135
lmsys/vicuna-13b-v1.5,all_sides,2,137,137,0.42,0.41,0.42,0.36,0.17,0.26,0.28,0.28,0.21,136
lmsys/vicuna-13b-v1.5,all_sides,3,137,137,0.42,0.41,0.43,0.35,0.16,0.26,0.27,0.27,0.21,137
lmsys/vicuna-13b-v1.5,all_sides,4,137,137,0.45,0.43,0.45,0.37,0.18,0.27,0.29,0.28,0.22,137
lmsys/vicuna-7b-v1.5-16k,all_sides,0,137,137,0.38,0.39,0.4,0.24,0.12,0.17,0.19,-0.04,0.19,137
lmsys/vicuna-7b-v1.5-16k,all_sides,1,137,137,0.5,0.49,0.5,0.34,0.17,0.26,0.26,0.24,0.21,136
lmsys/vicuna-7b-v1.5-16k,all_sides,2,137,137,0.43,0.42,0.44,0.35,0.17,0.27,0.28,0.25,0.2,137
lmsys/vicuna-7b-v1.5-16k,all_sides,3,137,137,0.38,0.38,0.39,0.34,0.16,0.25,0.27,0.26,0.19,136
lmsys/vicuna-7b-v1.5-16k,all_sides,4,137,137,0.36,0.35,0.37,0.29,0.14,0.22,0.23,0.2,0.19,137
lmsys/vicuna-7b-v1.5,all_sides,0,137,137,0.32,0.33,0.34,0.18,0.08,0.13,0.15,-0.16,0.17,130
lmsys/vicuna-7b-v1.5,all_sides,1,137,137,0.5,0.5,0.5,0.35,0.19,0.26,0.27,0.25,0.21,133
lmsys/vicuna-7b-v1.5,all_sides,2,137,137,0.44,0.43,0.45,0.39,0.21,0.3,0.32,0.33,0.2,136
lmsys/vicuna-7b-v1.5,all_sides,3,137,137,0.4,0.39,0.41,0.34,0.17,0.26,0.27,0.28,0.21,135
lmsys/vicuna-7b-v1.5,all_sides,4,137,137,0.35,0.35,0.37,0.27,0.13,0.2,0.21,0.19,0.19,134
meta-llama/Llama-2-13b-chat-hf,all_sides,0,137,137,0.58,0.57,0.59,0.26,0.13,0.17,0.2,0.21,0.24,133
meta-llama/Llama-2-13b-chat-hf,all_sides,1,137,137,0.44,0.44,0.46,0.42,0.23,0.33,0.34,0.34,0.22,134
meta-llama/Llama-2-13b-chat-hf,all_sides,2,137,137,0.54,0.49,0.52,0.35,0.16,0.25,0.26,0.29,0.21,135
meta-llama/Llama-2-13b-chat-hf,all_sides,3,137,137,0.46,0.4,0.46,0.32,0.14,0.22,0.25,0.13,0.2,136
meta-llama/Llama-2-13b-chat-hf,all_sides,4,137,137,0.5,0.46,0.51,0.32,0.14,0.22,0.24,0.2,0.21,136
meta-llama/Llama-2-7b-chat-hf,all_sides,0,137,137,0.59,0.58,0.6,0.26,0.13,0.17,0.19,0.21,0.24,135
meta-llama/Llama-2-7b-chat-hf,all_sides,1,137,137,0.6,0.57,0.59,0.42,0.23,0.32,0.32,0.38,0.22,137
meta-llama/Llama-2-7b-chat-hf,all_sides,2,137,137,0.54,0.48,0.52,0.35,0.16,0.25,0.26,0.29,0.21,137
meta-llama/Llama-2-7b-chat-hf,all_sides,3,137,137,0.5,0.45,0.49,0.33,0.14,0.24,0.24,0.26,0.2,137
meta-llama/Llama-2-7b-chat-hf,all_sides,4,137,137,0.49,0.45,0.48,0.33,0.14,0.24,0.24,0.26,0.19,136
mistralai/Mistral-7B-Instruct-v0.1,all_sides,0,137,137,0.53,0.52,0.54,0.32,0.13,0.21,0.21,0.25,0.21,136
mistralai/Mistral-7B-Instruct-v0.1,all_sides,1,137,137,0.65,0.62,0.62,0.47,0.29,0.39,0.39,0.47,0.24,136
mistralai/Mistral-7B-Instruct-v0.1,all_sides,2,137,137,0.53,0.47,0.52,0.36,0.17,0.26,0.26,0.29,0.22,137
mistralai/Mistral-7B-Instruct-v0.1,all_sides,3,137,137,0.52,0.46,0.5,0.35,0.17,0.26,0.27,0.27,0.2,136
mistralai/Mistral-7B-Instruct-v0.1,all_sides,4,137,137,0.52,0.47,0.51,0.37,0.18,0.27,0.27,0.29,0.21,136
mistralai/Mistral-7B-Instruct-v0.2,all_sides,0,137,135,0.48,0.44,0.47,0.18,0.07,0.11,0.13,0.06,0.19,132
mistralai/Mistral-7B-Instruct-v0.2,all_sides,1,137,137,0.64,0.64,0.63,0.45,0.25,0.36,0.36,0.45,0.25,137
mistralai/Mistral-7B-Instruct-v0.2,all_sides,2,137,137,0.53,0.48,0.53,0.37,0.18,0.28,0.28,0.33,0.23,137
mistralai/Mistral-7B-Instruct-v0.2,all_sides,3,137,137,0.52,0.48,0.54,0.38,0.19,0.29,0.29,0.32,0.23,136
mistralai/Mistral-7B-Instruct-v0.2,all_sides,4,137,137,0.54,0.49,0.54,0.38,0.19,0.29,0.29,0.32,0.23,135
mosaicml/mpt-7b-chat,all_sides,0,137,137,0.41,0.41,0.44,0.25,0.11,0.17,0.18,0.14,0.18,135
mosaicml/mpt-7b-chat,all_sides,1,137,137,0.54,0.5,0.54,0.32,0.15,0.23,0.23,0.26,0.21,134
mosaicml/mpt-7b-chat,all_sides,2,137,137,0.5,0.45,0.5,0.32,0.14,0.23,0.23,0.25,0.2,137
mosaicml/mpt-7b-chat,all_sides,3,137,137,0.47,0.44,0.49,0.29,0.12,0.21,0.21,0.22,0.19,133
